,playerID,name,position,firstage,avgfirst3PER,avgfirst3MP,firstyr,peakage,height,weight,college
122,fergute01,Terrance Ferguson,SHOOTING GUARD,19,6.9,1347.0,2018,24,200.66,83.46092800000002,None
123,foxde01,De'Aaron Fox,POINT GUARD,20,14.65,2286.0,2018,25,190.5,79.3786,Kentucky
124,fultzma01,Markelle Fultz,SHOOTING GUARD,19,11.45,340.0,2018,22,193.04,90.7184,Washington
125,grayjo01,Josh Gray,POINT GUARD,24,7.2,86.0,2018,30,185.42,81.64656,None
126,hamilda02,Daniel Hamilton,SHOOTING GUARD,22,12.65,116.0,2018,28,200.66,88.45044,Connecticut
127,harrish01,Shaquille Harrison,POINT GUARD,24,14.0,907.0,2018,25,193.04,86.18248,Tulsa
128,hartjo01,Josh Hart,SHOOTING GUARD,22,10.75,1588.0,2018,28,195.58,97.52228000000001,Villanova
129,hayesni01,Nigel Hayes,SMALL FORWARD,23,16.366666666666667,122.0,2018,24,200.66,115.212368,Wisconsin
130,hearnre01,Reggie Hearn,SHOOTING GUARD,26,13.1,7.0,2018,26,195.58,95.25432,Northwestern
131,henrymy01,Myke Henry,SMALL FORWARD,25,9.7,378.0,2018,27,198.12,95.25432,None
132,hicksis01,Isaiah Hicks,POWER FORWARD,23,12.1,136.0,2018,28,205.74,109.769264,North Carolina
133,hollajo02,John Holland,SMALL FORWARD,29,2.95,87.5,2018,29,195.58,92.98635999999999,Boston U.
134,huntevi01,Vince Hunter,POWER FORWARD,23,35.8,7.0,2018,23,,,
135,ingraan01,Andre Ingram,SHOOTING GUARD,32,2.2,39.5,2018,28,190.5,86.18248,American University
136,isaacjo01,Jonathan Isaac,POWER FORWARD,20,11.4,1266.0,2018,26,208.28,95.25432,Florida State
137,iwundwe01,Wesley Iwundu,SMALL FORWARD,23,8.25,1126.5,2018,26,,,
138,jacksaa01,Aaron Jackson,POINT GUARD,31,2.4,35.0,2018,30,190.5,83.007336,None
139,jacksjo02,Josh Jackson,SMALL FORWARD,20,11.2,1973.5,2018,24,203.2,90.7184,Kansas
140,jacksju01,Justin Jackson,SMALL FORWARD,22,10.6,1560.0,2018,27,203.2,95.25432,North Carolina
141,johnsda04,Dakari Johnson,CENTER,22,16.4,161.0,2018,24,213.36,115.66596000000001,Kentucky
142,johnsom01,Omari Johnson,POWER FORWARD,28,10.5,75.0,2018,24,205.74,99.79024,Oregon State
143,jonesja04,Jalen Jones,SMALL FORWARD,24,9.825,197.5,2018,27,200.66,99.79024,Texas A&M
144,kennalu01,Luke Kennard,SHOOTING GUARD,21,12.0,1450.0,2018,28,195.58,90.7184,Duke
145,klebima01,Maxi Kleber,POWER FORWARD,26,13.25,1354.0,2018,24,210.82,99.79024,None
146,korkmfu01,Furkan Korkmaz,SHOOTING GUARD,20,7.45,379.5,2018,23,200.66,86.18248,None
147,kornelu01,Luke Kornet,POWER FORWARD,22,14.2,555.0,2018,28,215.9,113.398,Vanderbilt
148,kuzmaky01,Kyle Kuzma,POWER FORWARD,22,14.1,2357.5,2018,23,205.74,99.79024,Utah
149,leaftj01,T.J. Leaf,POWER FORWARD,20,13.8,490.5,2018,24,,,
150,leeda03,Damion Lee,SHOOTING GUARD,25,11.95,389.5,2018,26,198.12,95.25432,Louisville
151,lemonwa01,Walt Lemon Jr.,POINT GUARD,25,11.6,101.0,2018,26,190.5,81.64656,None
152,lydonty01,Tyler Lydon,POWER FORWARD,21,4.65,48.0,2018,23,205.74,99.79024,Syracuse
153,magetjo01,Josh Magette,POINT GUARD,28,11.9,216.0,2018,25,185.42,72.57472,Alabama Huntsville
154,markkla01,Lauri Markkanen,POWER FORWARD,20,16.35,1851.0,2018,26,213.36,104.32616,Arizona
155,masonfr01,Frank Mason III,POINT GUARD,23,12.7,709.5,2018,28,,,
156,mathima01,Mangok Mathiang,CENTER,25,18.0,20.0,2018,25,208.28,104.32616,Louisville
157,mccreer01,Erik McCree,SMALL FORWARD,24,-8.9,8.0,2018,26,203.2,102.0582,Louisiana Tech
158,mckinal01,Alfonzo McKinnie,SMALL FORWARD,25,10.65,528.0,2018,25,203.2,97.52228000000001,None
159,mckintr01,Trey McKinney-Jones,SHOOTING GUARD,27,0.0,1.0,2018,27,195.58,99.79024,Miami (FL)
160,millema01,Malcolm Miller,SMALL FORWARD,24,11.3,96.5,2018,27,200.66,95.25432,Holy Cross
161,mitchdo01,Donovan Mitchell,SHOOTING GUARD,21,16.95,2618.0,2018,24,190.5,97.52228000000001,Louisville
