playerID,name,position,firstage,avgfirst3PER,avgfirst3MP,firstyr,peakage,height,weight,college
blueva01,Vander Blue,SHOOTING GUARD,21,0.9,44.666666666666664,2014,,193.01999999999998,90.3592,Marquette University
brownlo01,Lorenzo Brown,POINT GUARD,23,7.866666666666667,278.0,2014,,195.79000000000002,86.72522000000001,North Carolina State University
bullore01,Reggie Bullock,SMALL FORWARD,22,7.183333333333334,387.3333333333333,2014,26.0,200.82999999999998,92.49318,University of North Carolina
burketr01,Trey Burke,POINT GUARD,21,13.066666666666668,1972.0,2014,26.0,185.20999999999998,86.09124,University of Michigan
buyckdw01,Dwight Buycks,POINT GUARD,24,11.033333333333333,232.0,2014,,190.25,86.09124,Marquette University
calatni01,Nick Calathes,SHOOTING GUARD,24,12.3,1005.5,2014,,198.06,96.307548,University of Florida
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,20,11.0,2319.6666666666665,2014,24.0,195.79000000000002,92.49318,University of Georgia
canaais01,Isaiah Canaan,POINT GUARD,22,10.966666666666667,1052.0,2014,23.0,182.94,88.137648,Murray State University
cartemi01,Michael Carter-Williams,POINT GUARD,22,14.65,2070.6666666666665,2014,22.0,198.06,84.95725999999999,Syracuse University
chrisdi01,Dionte Christmas,SMALL FORWARD,27,11.1,198.0,2014,,195.79000000000002,92.49318,Temple University
clarkia01,Ian Clark,SHOOTING GUARD,22,10.216666666666667,314.0,2014,25.0,190.25,78.735708,Belmont University
covinro01,Robert Covington,SMALL FORWARD,23,14.299999999999999,1297.6666666666667,2014,24.0,205.87,97.26114,Tennessee State University
crabbal01,Allen Crabbe,SHOOTING GUARD,21,9.533333333333333,962.6666666666666,2014,25.0,198.06,95.12716,University of California
curryse01,Seth Curry,POINT GUARD,23,4.116666666666666,237.66666666666666,2014,,187.98000000000002,83.45725999999999,Duke University
danietr01,Troy Daniels,SHOOTING GUARD,22,13.411111111111111,316.0,2014,24.0,193.01999999999998,92.266384,Virginia Commonwealth University
datomlu01,Gigi Datome,SMALL FORWARD,26,11.9,223.5,2014,,203.2,97.52228,None
daviebr01,Brandon Davies,POWER FORWARD,22,8.55,499.0,2014,,208.14,108.43104,Brigham Young University
dedmode01,Dewayne Dedmon,CENTER,24,11.888888888888891,646.6666666666666,2014,26.0,213.18,113.33297999999999,University of Southern California
dellama01,Matthew Dellavedova,SHOOTING GUARD,23,10.166666666666666,1506.0,2014,25.0,193.01999999999998,89.8592,Saint Mary's College of California
dienggo01,Gorgui Dieng,CENTER,24,16.933333333333334,1743.6666666666667,2014,29.0,210.91,108.47744800000001,University of Louisville
edwarsh01,Shane Edwards,SMALL FORWARD,26,-1.0,12.0,2014,,200.82999999999998,99.39511999999999,University of Arkansas at Little Rock
favervi01,Vítor Luiz Faverani,CENTER,25,11.0,488.0,2014,,,,
felixca01,Carrick Felix,SHOOTING GUARD,23,13.3,38.0,2014,,198.06,91.085996,Arizona State University
frankja01,Jamaal Franklin,SHOOTING GUARD,22,4.800000000000001,87.0,2014,,195.79000000000002,86.318036,San Diego State University
goberru01,Rudy Gobert,CENTER,21,17.333333333333332,1508.0,2014,26.0,215.95,111.06502,None
goodwar01,Archie Goodwin,SHOOTING GUARD,19,10.866666666666667,727.3333333333334,2014,,195.79000000000002,89.905608,University of Kentucky
gutiejo01,Jorge Gutiérrez,POINT GUARD,25,12.933333333333332,160.66666666666666,2014,,,,
hamilju01,Justin Hamilton,CENTER,23,11.25,653.6666666666666,2014,,213.18,116.33297999999999,Louisiana State University
hardati02,Tim Hardaway Jr.,SHOOTING GUARD,21,12.166666666666666,1473.3333333333333,2014,24.0,198.12,92.98636,Michigan
harriel01,Elias Harris,SMALL FORWARD,24,7.6,11.0,2014,,203.1,108.204244,Gonzaga University
hillso01,Solomon Hill,SMALL FORWARD,22,9.999999999999998,1157.6666666666667,2014,24.0,200.82999999999998,102.0291,University of Arizona
hopsosc01,Scotty Hopson,SHOOTING GUARD,24,-5.55,7.5,2014,,200.82999999999998,92.266384,University of Tennessee
hummero01,Robbie Hummel,SMALL FORWARD,24,9.649999999999999,698.5,2014,,203.1,98.39511999999999,Purdue University
karasse01,Sergey Karasev,SMALL FORWARD,20,7.1000000000000005,370.0,2014,,200.82999999999998,91.452016,None
kellyry01,Ryan Kelly,POWER FORWARD,22,10.5,1005.0,2014,,210.91,104.16308000000001,Duke University
kuzmiog01,Ognjen Kuzmić,CENTER,23,8.15,82.0,2014,,,,
larkish01,Shane Larkin,POINT GUARD,21,10.833333333333334,1368.3333333333333,2014,,180.17000000000002,79.41609599999998,University of Miami
ledori01,Ricky Ledo,SHOOTING GUARD,21,2.6249999999999996,138.5,2014,,200.82999999999998,88.22522000000001,Providence
lenal01,Alex Len,CENTER,20,11.066666666666668,1233.6666666666667,2014,24.0,215.95,116.33297999999999,University of Maryland
mccalra01,Ray McCallum,POINT GUARD,22,10.4,936.0,2014,,190.25,86.09124,University of Detroit Mercy
mccolcj01,CJ McCollum,SHOOTING GUARD,22,13.266666666666666,1409.6666666666667,2014,25.0,193.04,90.7184,Lehigh
mclembe01,Ben McLemore,SHOOTING GUARD,20,8.9,2100.0,2014,21.0,195.79000000000002,88.22522000000001,University of Kansas
mekelga01,Gal Mekel,POINT GUARD,25,2.95,167.5,2014,,190.25,86.318036,Wichita State University
