playerID,name,position,age,PER,usage%,gp,yr,draftyr
kojisdo01,Don Kojis,SMALL FORWARD,30,16.7,0.0,81,1969,1964
lucasje01,Jerry Lucas,POWER FORWARD,24,20.9,0.0,66,1965,1964
milesed01,Eddie Miles,SHOOTING GUARD,27,16.6,0.0,76,1968,1964
siegfla01,Larry Siegfried,POINT GUARD,26,16.5,0.0,71,1966,1965
thornro01,Rod Thorn,SHOOTING GUARD,26,17.4,0.0,66,1968,1964
thurmna01,Nate Thurmond,CENTER,26,19.0,0.0,51,1968,1964
abdulma01,Walt Hazzard,POINT GUARD,25,19.4,0.0,79,1968,1965
barneji01,Jim Barnes,POWER FORWARD,23,13.7,0.0,75,1965,1965
bryanem01,Em Bryant,POINT GUARD,27,13.1,0.0,71,1966,1965
caldwjo01,Joe Caldwell,SHOOTING GUARD,28,17.3,0.0,82,1970,1965
countme01,Mel Counts,POWER FORWARD,26,18.4,0.0,82,1968,1965
hairsha01,Happy Hairston,POWER FORWARD,27,18.9,0.0,70,1970,1965
jackslu01,Luke Jackson,POWER FORWARD,23,15.2,0.0,76,1965,1965
joneswa02,Wali Jones,POINT GUARD,27,14.0,0.0,78,1970,1965
komivho01,Howard Komives,POINT GUARD,25,13.0,0.0,65,1967,1965
mclemmc01,McCoy McLemore,SMALL FORWARD,24,13.5,0.0,79,1967,1965
mullije01,Jeff Mullins,SHOOTING GUARD,26,18.9,0.0,78,1969,1965
reedwi01,Willis Reed,CENTER,26,21.4,0.0,82,1969,1965
silaspa01,Paul Silas,POWER FORWARD,28,18.3,0.0,80,1972,1965
tresvjo01,John Tresvant,POWER FORWARD,31,17.25,0.0,75,1971,1966
wilsoge01,George Wilson,CENTER,26,13.55,0.0,79,1969,1966
barryri01,Rick Barry,SMALL FORWARD,22,24.2,0.0,78,1967,1966
clemeba01,Barry Clemens,SMALL FORWARD,29,14.9,0.0,72,1973,1966
cunnibi01,Billy Cunningham,SMALL FORWARD,28,21.3,0.0,75,1972,1966
erickke01,Keith Erickson,SMALL FORWARD,29,15.3,0.0,66,1974,1966
goodrga01,Gail Goodrich,SHOOTING GUARD,28,20.1,0.0,82,1972,1966
hetzefr01,Fred Hetzel,SMALL FORWARD,25,15.8,0.0,77,1968,1966
mcglojo01,Jon McGlocklin,SHOOTING GUARD,25,16.7,0.0,80,1969,1966
sloanje01,Jerry Sloan,SHOOTING GUARD,26,14.9,0.0,78,1969,1966
stallda01,Dave Stallworth,SMALL FORWARD,24,16.3,0.0,80,1966,1966
vanardi01,Dick Van Arsdale,SHOOTING GUARD,27,16.5,0.0,81,1971,1966
vanarto01,Tom Van Arsdale,SMALL FORWARD,26,16.3,0.0,71,1970,1966
washiji01,Jim Washington,CENTER,24,14.7,0.0,82,1968,1966
weissbo01,Bob Weiss,POINT GUARD,25,15.8,0.0,82,1968,1968
barneji02,Jim Barnett,SHOOTING GUARD,26,17.0,0.0,78,1971,1967
bingda01,Dave Bing,POINT GUARD,27,22.5,0.0,82,1971,1967
blockjo01,John Block,CENTER,23,17.1,0.0,52,1968,1968
clarkar01,Archie Clark,POINT GUARD,30,22.65,0.0,77,1972,1967
ellisjo01,Joe Ellis,SMALL FORWARD,24,13.6,0.0,74,1969,1967
finkeha01,Hank Finkel,CENTER,25,17.5,0.0,53,1968,1968
guokama02,Matt Guokas,SHOOTING GUARD,28,11.2,0.0,79,1973,1967
hudsolo01,Lou Hudson,SMALL FORWARD,29,19.5,0.0,65,1974,1967
kimbato01,Toby Kimball,POWER FORWARD,31,13.9,0.0,75,1974,1968
leecl01,Clyde Lee,CENTER,26,14.8,0.0,82,1971,1967
lovebo01,Bob Love,POWER FORWARD,28,17.0,0.0,81,1971,1967
marinja01,Jack Marin,SMALL FORWARD,27,18.2,0.0,78,1972,1967
mueller01,Erwin Mueller,CENTER,22,13.3,0.0,80,1967,1967
murredo01,Dorie Murrey,POWER FORWARD,27,13.25,0.0,71,1971,1968
robinfl01,Flynn Robinson,POINT GUARD,28,19.3,0.0,81,1970,1967
russeca01,Cazzie Russell,SMALL FORWARD,29,17.6,0.0,82,1974,1967
snydedi01,Dick Snyder,SHOOTING GUARD,26,17.4,0.0,82,1971,1967
weslewa01,Walt Wesley,CENTER,26,17.1,0.0,82,1971,1967
bradlbi01,Bill Bradley,SMALL FORWARD,29,13.8,0.0,82,1973,1968
davisji01,Jim Davis,CENTER,27,17.3,0.0,78,1969,1968
foxji01,Jim Fox,CENTER,27,19.5,0.0,82,1971,1968
fraziwa01,Walt Frazier,POINT GUARD,26,21.6,0.0,77,1972,1968
haskicl01,Clem Haskins,SHOOTING GUARD,26,16.5,0.0,82,1970,1968
jacksph01,Phil Jackson,POWER FORWARD,28,15.0,0.0,82,1974,1968
mckenst01,Stan McKenzie,SMALL FORWARD,27,16.0,0.0,82,1972,1968
monroea01,Earl Monroe,SHOOTING GUARD,23,19.3,0.0,82,1968,1968
